gadget_name_original,gadget_name_english,first_appearance_episode,function,used_by,main_user,category,success_rate,failure_rate,is_recurring,notes
分子お菓子,Molecular Candy,Manga Vol. 73,Changes eater's properties,Nobita,Nobita,Food,60,40,No,Turn into light/stone/etc.
ドラえもんの鈴5,Doraemon's Bell 5.0,-,Summons genre-specific Doraemons,Nobita,Nobita,Special,95,5,No,"e.g., 'Sci-Fi Doraemon'"
四次元ポケットGPS2,4D Pocket GPS 2.0,-,Tracks lost items across time,Doraemon,Doraemon,Special,100,0,Yes,Find anything ever lost
悪魔のサイコロ10,Devil's Dice 10.0,-,Chooses between multiverses,Nobita,Nobita,Fantasy,0,100,No,All options are bad
宇宙の碁2,Space Go 2.0,-,Play with neutron stars,Nobita,Nobita,Game,85,15,No,Gravity affects pieces
タイムパラドックスワクチン2,Time Paradox Vaccine 2.0,-,Immunizes against retcons,Doraemon,Doraemon,Time Travel,100,0,No,For comic book readers
ドラミの四次元ポケット4,Dorami's 4D Pocket 4.0,-,Themed storage (emergencies),Dorami,Dorami,Special,100,0,Yes,Always right gadget
悪魔のカメラ9,Devil's Camera 9.0,-,Erases 'meaning' from objects,Nobita,Nobita,Fantasy,0,100,No,Things become abstract
感情増幅器3,Emotion Amplifier 3.0,-,Projects feelings physically,Nobita,Nobita,Psychic,30,70,No,Anger becomes fire
四次元冷蔵庫6,4D Fridge 6.0,-,Preserves 'ideas',Doraemon,Doraemon,Special,100,0,Yes,Store forgotten thoughts
宇宙の将棋4,Space Shogi 4.0,-,Play with quasar pieces,Nobita,Nobita,Game,95,5,No,Time dilation effects
タイムマシンNEO2,Time Machine NEO2,-,Folds narratives for travel,Doraemon,Doraemon,Time Travel,100,0,Yes,Jump between stories
悪魔のパスポートPro2,Devil's Passport Pro2,-,Wishes with dramatic irony,Nobita,Nobita,Fantasy,0.15,99.85,No,Be careful what you wish'
ドラえもんのポケット6,Doraemon's Pocket 6.0,-,Auto-adapts to user needs,Doraemon,Doraemon,Special,100,0,Yes,I was just looking for that!'
分子調理機2,Molecular Cooker 2.0,-,Creates food from imagination,Nobita,Nobita,Food,90,10,No,Still burns water
四次元掃除機4,4D Vacuum 4.0,-,Cleans conceptual clutter,Doraemon,Doraemon,Special,100,0,Yes,Removes plot holes
悪魔のランプ7,Devil's Lamp 7.0,-,Genie with philosophical traps,Nobita,Nobita,Fantasy,0.1,99.9,No,What is happiness?'
宇宙の笛4,Space Flute 4.0,-,Communicates with dimensions,Nobita,Nobita,Music,70,30,No,Harmonic vibrations
タイムテレビNEO2,Time TV NEO2,-,Edits show reruns,Doraemon,Doraemon,Time Travel,80,20,No,Improve' old episodes
ドラミの救急セット7,Dorami's First Aid Kit 7.0,-,Cures 'jumping the shark',Dorami,Dorami,Medical,100,0,No,For declining quality
悪魔のサイコロ11,Devil's Dice 11.0,-,Resets character development,Nobita,Nobita,Fantasy,0,100,No,Back to episode 1
四次元ポケットUltra3,4D Pocket Ultra3,-,Stores 'potential',Doraemon,Doraemon,Special,100,0,Yes,All possible gadgets
感情冷凍機2,Emotion Freezer 2.0,-,Pauses specific feelings,Nobita,Nobita,Psychic,85,15,No,No anger for 1 hour'
宇宙の絵本2,Space Picture Book 2.0,-,Stories become real in 4D,Nobita,Nobita,Fantasy,60,40,No,Characters escape books
タイムパトロールNEO2,Time Patrol NEO2,-,Guards narrative integrity,Doraemon,Doraemon,Time Travel,100,0,No,Against bad retcons
悪魔のカメラ10,Devil's Camera 10.0,-,Erases 'genre' from reality,Nobita,Nobita,Fantasy,0,100,No,World becomes bland
ドラえもんの鈴6,Doraemon's Bell 6.0,-,Summons creators for advice,Nobita,Nobita,Meta,100,0,No,Break fourth wall
分子楽器2,Molecular Instrument 2.0,-,Plays quantum states,Nobita,Nobita,Music,90,10,No,Schrödinger's symphony
四次元冷凍庫4,4D Freezer 4.0,-,Freezes 'themes',Doraemon,Doraemon,Special,100,0,Yes,Pause 'coming of age'
悪魔のパスポートUltra2,Devil's Passport Ultra2,-,Reality overclocking 2.0,Nobita,Nobita,Fantasy,0.005,99.995,No,System failure imminent
宇宙の将棋5,Space Shogi 5.0,-,Play with cosmic strings,Nobita,Nobita,Game,99,1,No,Universe as board
タイムマシンUltra3,Time Machine Ultra3,-,Travel through fan theories,Doraemon,Doraemon,Time Travel,100,0,No,Visit headcanons
ドラミの四次元ポケット5,Dorami's 4D Pocket 5.0,-,Themed storage (festivals),Dorami,Dorami,Special,100,0,Yes,Seasonal gadgets
悪魔のランプ8,Devil's Lamp 8.0,-,Genie with narrative awareness,Nobita,Nobita,Fantasy,0,100,No,This is just a story'
感情テレポート2,Emotion Teleport 2.0,-,Sends feelings to fiction,Nobita,Nobita,Psychic,75,25,No,Make characters cry
四次元ポケットNEO2,4D Pocket NEO2,-,Adaptive to plot needs,Doraemon,Doraemon,Special,100,0,Yes,Deus ex machina
宇宙のオルゴール3,Space Music Box 3.0,-,Harmonizes multiverses,Nobita,Nobita,Music,95,5,No,Theme song plays
タイムパラドックスアーマー2,Time Paradox Armor 2.0,-,Protects from reboots,Doraemon,Doraemon,Time Travel,100,0,No,No retcons allowed
悪魔のサイコロ12,Devil's Dice 12.0,-,Roll for franchise renewal,Nobita,Nobita,Fantasy,0,100,No,Studio executives
ドラえもんのポケット7,Doraemon's Pocket 7.0,-,Contains perfect gadget,Doraemon,Doraemon,Special,100,0,Yes,For any situation
分子おもちゃ2,Molecular Toy 2.0,-,Builds with dark matter,Nobita,Nobita,Toy,80,20,No,Invisible structures
四次元掃除機5,4D Vacuum 5.0,-,Cleans fan controversies,Doraemon,Doraemon,Special,100,0,Yes,Erases plotholes
悪魔のカメラ11,Devil's Camera 11.0,-,Erases 'canon',Nobita,Nobita,Fantasy,0,100,No,Nothing matters
宇宙のチェス4,Space Chess 4.0,-,Play with narrative tropes,Nobita,Nobita,Game,90,10,No,Checkmate the hero
タイムテレビUltra3,Time TV Ultra3,-,Watch deleted scenes,Doraemon,Doraemon,Time Travel,85,15,No,Director's cut
ドラミの救急セット8,Dorami's First Aid Kit 8.0,-,Cures 'Flanderization',Dorami,Dorami,Medical,100,0,No,For character decay
悪魔のパスポートFinal3,Devil's Passport Final3,-,Control over all fiction,Nobita,Nobita,Meta,0,100,No,Becomes the author
感情増幅器4,Emotion Amplifier 4.0,-,Projects feelings into reality,Nobita,Nobita,Psychic,20,80,No,World becomes emotion
四次元冷蔵庫7,4D Fridge 7.0,-,Preserves 'magic',Doraemon,Doraemon,Special,100,0,Yes,Store fairy tales
宇宙の盆栽3,Space Bonsai 3.0,-,Grows narrative branches,Nobita,Nobita,Space,70,30,No,Prune bad plots
タイムマシンFinal3,Time Machine Final3,-,Transcends all fiction,Doraemon,Doraemon,Time Travel,100,0,No,Visit any story
悪魔のランプFinal2,Devil's Lamp Final2,-,Genie with no limits,Nobita,Nobita,Fantasy,0,100,No,Reality itself wishes
ドラえもんの鈴Final3,Doraemon's Bell Final3,-,Summons all fictional characters,Nobita,Nobita,Meta,100,0,No,Crossover event
分子再構成機3,Molecular Rebuilder 3.0,-,Rewrites tropes,Doraemon,Doraemon,Science,95,5,No,Turn clichés fresh
四次元ポケットFinal3,4D Pocket Final3,-,Contains all narratives,Doraemon,Doraemon,Special,100,0,Yes,Library of Babel
悪魔のサイコロFinal2,Devil's Dice Final2,-,Roll for reboot,Nobita,Nobita,Meta,0,100,No,Resets franchise
宇宙の笛Final3,Space Flute Final3,-,Sings new realities,Nobita,Nobita,Music,100,0,No,Creation ex nihilo
タイムパトロールFinal3,Time Patrol Final3,-,Guards all fiction,Doraemon,Doraemon,Time Travel,100,0,No,Against bad fanfics
ドラミの四次元ポケットFinal2,Dorami's 4D Pocket Final2,-,Infinite dessert dimension,Dorami,Dorami,Special,100,0,Yes,Heaven for sweets
悪魔のカメラFinal3,Devil's Camera Final3,-,Erases fourth wall,Nobita,Nobita,Meta,0,100,No,Audience disappears
感情転送機Final2,Emotion Transmitter Final2,-,Share all feelings universally,Nobita,Nobita,Psychic,100,0,No,World becomes one mind
四次元掃除機Final2,4D Vacuum Final2,-,Erases plot holes,Doraemon,Doraemon,Special,100,0,Yes,Perfect storytelling
宇宙の将棋Final2,Space Shogi Final2,-,Play with omniversal pieces,Nobita,Nobita,Game,100,0,No,God vs. Doraemon
タイムテレビFinal2,Time TV Final2,-,Watch all possible timelines,Doraemon,Doraemon,Time Travel,100,0,No,Infinite channels
悪魔のパスポートΩ2,Devil's Passport Omega2,-,Control over all fiction,Nobita,Nobita,Meta,0,100,No,Becomes the author
ドラえもんの友情,Doraemon's Friendship,-,The ultimate power,Everyone,Everyone,Special,100,0,Yes,Why we love the series
